Book ID,Chapter Title,Chapter Description
1,Chapter 1,The detective receives a mysterious letter.
1,Chapter 2,The investigation begins as the detective explores the city.
1,Chapter 3,The plot thickens as new suspects are discovered.
2,Chapter 1,The journey begins as the main character enters the forest.
2,Chapter 2,The character meets a talking animal and learns about the forest's magic.
2,Chapter 3,The hero faces a dangerous challenge in the heart of the forest.
3,Chapter 1,Introduction to basic science concepts like force and motion.
3,Chapter 2,Exploring the wonders of space and the universe.
3,Chapter 3,Understanding plant and animal life in different ecosystems.

